"","MLM","MMM","HHH","HLH","MHM","HMM","HMH","LML","LHL","LLL","LLM","MLH","MHL","MML","LMM","MMH","HLM","MHH","MLL","LHM"
"MLM",0.0702598652550529,0.0789220404234841,0.179018286814244,0.0895091434071222,0.151106833493744,0.0105871029836381,0.082771896053898,0.0991337824831569,0.170356111645813,0.0471607314725698,0.00481231953801732,0,0,0.00481231953801732,0.00673724735322425,0,0,0,0,0.00481231953801732
"MMM",0.153846153846154,0.0547008547008547,0.170940170940171,0.0769230769230769,0.0444444444444444,0.00854700854700855,0.0615384615384615,0.094017094017094,0.247863247863248,0.0615384615384615,0,0,0,0,0.0256410256410256,0,0,0,0,0
"HHH",0.14985862393968,0.0433553251649387,0.0857681432610745,0.0537229029217719,0.0499528746465598,0,0.150801131008483,0.0989632422243167,0.0791705937794533,0.25636192271442,0.00188501413760603,0.00471253534401508,0.00942507068803016,0,0,0,0.0113100848256362,0,0.00471253534401508,0
"HLH",0.106269925611052,0.0882040382571732,0.179596174282678,0.0350690754516472,0.0382571732199787,0.0106269925611052,0.112646121147715,0.140276301806589,0.0988310308182784,0.167906482465462,0,0,0.00850159404888417,0,0,0.0138150903294368,0,0,0,0
"MHM",0.221476510067114,0.0559284116331096,0.114093959731544,0.0984340044742729,0.0536912751677852,0.0402684563758389,0.0782997762863535,0.147651006711409,0.0850111856823266,0.0917225950782998,0,0,0.00223713646532438,0,0.0111856823266219,0,0,0,0,0
"HMM",0.340909090909091,0,0.25,0,0,0,0.409090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0
"HMH",0.135960591133005,0.0955665024630542,0.136945812807882,0.107389162561576,0.0266009852216749,0,0.151724137931034,0.0935960591133005,0.124137931034483,0.124137931034483,0,0,0,0,0,0.00394088669950739,0,0,0,0
"LML",0.117575757575758,0.117575757575758,0.0860606060606061,0.226666666666667,0.0375757575757576,0,0.0678787878787879,0.096969696969697,0.170909090909091,0.0642424242424242,0.00848484848484849,0,0.00606060606060606,0,0,0,0,0,0,0
"LHL",0.14722445695897,0.0305711987127916,0.0466613032984714,0.197908286403862,0.0426387771520515,0,0.173773129525342,0.0965406275140788,0.12711182622687,0.112630732099759,0,0.0136765888978278,0.00884955752212389,0,0,0.00080450522928399,0,0.00160901045856798,0,0
"LLL",0.079664570230608,0.0775681341719078,0.139412997903564,0.0890985324947589,0.0283018867924528,0,0.158280922431866,0.0366876310272537,0.253668763102725,0.0838574423480084,0.0115303983228512,0.0136268343815514,0.0146750524109015,0,0,0,0,0,0.0136268343815514,0
"LLM",0,0.08,0.44,0,0,0,0.28,0.2,0,0,0,0,0,0,0,0,0,0,0,0
"MLH",0,0.142857142857143,0,0,0,0,0.371428571428571,0.485714285714286,0,0,0,0,0,0,0,0,0,0,0,0
"MHL",0.119047619047619,0.0238095238095238,0,0.285714285714286,0,0,0,0.333333333333333,0.238095238095238,0,0,0,0,0,0,0,0,0,0,0
"MML",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LMM",0,0.758620689655172,0,0,0,0,0,0,0.241379310344828,0,0,0,0,0,0,0,0,0,0,0
"MMH",0.0555555555555556,0.722222222222222,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0
"HLM",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MHH",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLL",0,0,0.277777777777778,0,0,0,0,0,0.722222222222222,0,0,0,0,0,0,0,0,0,0,0
"LHM",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
